record_id,taxpayer_id,tin,business_name,owner_name,taxpayer_type,business_sector,lga,registration_date,tax_year,tax_month,tax_type,filing_due_date,filing_date,filing_status,amount_assessed,amount_paid,outstanding_balance,payment_status,payment_method,payment_date,audit_status,audit_result,penalty,annual_turnover,risk_level,compliance_score,revenue_office,notification_sent,registration_year,registration_month,filing_month,payment_month
378,100370,KAD-TIN-202500377,Cordova-Williams,James Miller,Sme,Agriculture,Chikun,2024-07-01,2025,May,Withholding Tax,2024-10-22,2024-02-11,Filed,2337324,2337324,0,Paid,Bank Transfer,2024-11-21,Audited,Pending,48037,412539484,Low,96,Kaduna North,No,2024,July,October,November
379,100372,KAD-TIN-202500378,Delgado-Gilbert,Alexandria Cervantes,Individual,Healthcare,Sabon Gari,2025-03-22,2025,Jun,Business Premises,2025-09-29,,Not Filed,2575577,569290,2006287,Partial,Bank Transfer,2025-10-05,Not Audited,Underpayment,127113,223187864,Medium,40,Kaduna North,Yes,2025,March,September,October
380,100573,KAD-TIN-202500379,Carroll PLC,Samuel Morgan,Corporate,Healthcare,Makarfi,2024-03-20,2025,Dec,Paye,2025-01-01,2025-09-01,Filed,1630554,1630554,0,Paid,Portal,2025-01-03,Audited,No Issue,4555,259439391,Medium,59,Zaria,No,2024,March,January,January
381,100177,KAD-TIN-202500380,Clarke-Lee,Tonya Noble,Corporate,Agriculture,Birnin Gwari,2024-03-12,2025,Dec,Paye,2024-11-23,,Not Filed,4438257,1434641,3003616,Partial,Pos,2024-11-29,Audited,Pending,59395,167049324,Low,46,Kaduna North,Yes,2024,March,November,November
382,100496,KAD-TIN-202500381,"Martin, Smith and Jimenez",Hannah Johnson,Sme,Retail,Jema'A,2024-08-05,2025,Feb,Paye,2024-10-31,,Filed,207759,207759,0,Paid,Bank Transfer,2024-11-28,Audited,Underpayment,11345,37566282,Medium,21,Kaduna North,Yes,2024,August,October,November
383,100205,KAD-TIN-202500382,Wells-Larson,Ricky Davila,Individual,Agriculture,Birnin Gwari,2025-04-16,2025,Feb,Business Premises,2026-03-20,2026-07-04,Filed,4979171,4979171,0,Paid,Ngn,2026-04-09,Not Audited,No Issue,131238,421189955,High,98,Kaduna North,Yes,2025,April,March,April
384,100223,KAD-TIN-202500383,Mclaughlin-Scott,David Goodwin,Corporate,Ict,Kaduna South,2024-02-20,2025,Mar,Paye,2025-01-11,,Filed,4486220,4486220,0,Paid,Bank Transfer,2025-01-22,Not Audited,Underpayment,183011,318421284,Low,76,Zaria,Yes,2024,February,January,January
385,100220,KAD-TIN-202500384,Reeves-Smith,Anthony Gibson,Corporate,Ict,Kauru,2024-04-02,2025,Feb,Withholding Tax,2024-10-30,,Late,3607540,3607540,0,Paid,Portal,2024-11-04,Audited,Underpayment,199825,195944861,High,56,Zaria,Yes,2024,April,October,November
386,100395,KAD-TIN-202500385,"Lam, Smith and Trujillo",Kim Juarez,Sme,Manufacturing,Sanga,2024-02-12,2025,Dec,Withholding Tax,2024-08-27,2024-12-09,Late,1020751,1020751,0,Paid,Portal,2024-09-08,Not Audited,Underpayment,112187,103353165,Low,80,Zaria,No,2024,February,August,September
387,100108,KAD-TIN-202500386,Harris-Ryan,Sarah Lang,Sme,Manufacturing,Lere,2024-04-01,2025,Nov,Paye,2024-05-07,,Not Filed,4174245,1409486,2764759,Partial,Bank Transfer,2024-05-14,Not Audited,Underpayment,182199,319052999,Low,41,Kaduna North,No,2024,April,May,May
388,100610,KAD-TIN-202500387,Harris-Rose,Cynthia Jackson,Sme,Retail,Kachia,2025-05-14,2025,Jul,Road Tax,2025-09-22,,Late,1729931,1729931,0,Paid,Ngn,2025-10-15,Not Audited,Underpayment,174765,325821973,Medium,82,Zaria,No,2025,May,September,October
389,100257,KAD-TIN-202500388,Cherry-Walker,David Jones,Sme,Manufacturing,Kachia,2024-03-16,2025,Nov,Business Premises,2024-12-03,,Filed,1075004,1075004,0,Paid,Bank Transfer,2024-12-04,Audited,Underpayment,177761,16360696,Low,68,Zaria,No,2024,March,December,December
390,100079,KAD-TIN-202500389,Sloan-Murray,David Green,Corporate,Healthcare,Kudan,2024-03-19,2025,Aug,Business Premises,2024-09-20,,Not Filed,858105,398548,459557,Partial,Ngn,2024-10-19,Not Audited,Pending,68593,293219246,Medium,89,Zaria,Yes,2024,March,September,October
391,100393,KAD-TIN-202500390,Fuller Ltd,Pamela Miller,Sme,Agriculture,Kaura,2025-05-02,2025,Aug,Road Tax,2025-06-17,,Late,1049369,1049369,0,Paid,Bank Transfer,2025-06-26,Not Audited,Pending,43029,265861105,Medium,37,Kaduna South,No,2025,May,June,June
392,100568,KAD-TIN-202500391,Miller Group,Judith Stone,Corporate,Healthcare,Sabon Gari,2024-09-06,2025,Aug,Road Tax,2024-12-01,,Not Filed,4165062,1384285,2780777,Partial,Pos,2024-12-31,Audited,Underpayment,69046,267585276,High,68,Zaria,No,2024,September,December,December
393,100029,KAD-TIN-202500392,Price PLC,Penny Bolton,Corporate,Retail,Ikara,2025-01-27,2025,Jun,Withholding Tax,2025-07-21,2025-10-08,Late,565261,565261,0,Paid,Bank Transfer,2025-08-09,Not Audited,No Issue,112236,187297250,Medium,72,Kaduna South,Yes,2025,January,July,August
394,100664,KAD-TIN-202500393,Blevins-Khan,Angela Price,Sme,Healthcare,Giwa,2024-12-04,2025,Dec,Paye,2025-05-08,2025-12-05,Filed,2018152,2018152,0,Paid,Bank Transfer,2025-05-27,Audited,No Issue,141142,177082646,Low,78,Zaria,No,2024,December,May,May
395,100021,KAD-TIN-202500394,Green-Jimenez,Richard Warren,Corporate,Manufacturing,Sabon Gari,2024-10-17,2025,Jan,Withholding Tax,2025-08-06,,Late,2286561,2286561,0,Paid,Portal,2025-08-24,Audited,Underpayment,26229,372904767,High,46,Kaduna South,No,2024,October,August,August
396,100373,KAD-TIN-202500395,"Smith, Bell and Morgan",Janet Fleming,Sme,Ict,Kudan,2024-09-14,2025,Nov,Paye,2025-04-05,,Filed,2562563,2562563,0,Paid,Pos,2025-04-21,Not Audited,No Issue,77940,309906577,Medium,48,Zaria,Yes,2024,September,April,April
397,100280,KAD-TIN-202500396,Clements and Sons,Stephanie Padilla,Individual,Healthcare,Lere,2025-01-02,2025,Aug,Road Tax,2025-11-24,,Filed,2875602,2875602,0,Paid,Ngn,2025-11-26,Not Audited,Pending,78619,234417047,High,89,Kaduna South,Yes,2025,January,November,November
398,100465,KAD-TIN-202500397,"Moore, Parker and Evans",Judy Flowers,Corporate,Healthcare,Jaba,2024-07-31,2025,Jan,Business Premises,2025-03-23,2025-05-04,Late,4373230,4373230,0,Paid,Portal,2025-04-03,Not Audited,Underpayment,167228,288001514,High,75,Zaria,Yes,2024,July,March,April
399,100152,KAD-TIN-202500398,"Taylor, King and Norton",Cynthia Russell,Individual,Ict,Zangon Kataf,2024-09-24,2025,May,Road Tax,2025-02-03,2025-11-02,Late,3929619,3929619,0,Paid,Ngn,2025-02-05,Audited,Underpayment,69975,444226319,Medium,40,Kaduna South,Yes,2024,September,February,February
400,100197,KAD-TIN-202500399,Daniel Ltd,Bradley Coffey,Individual,Ict,Kaduna South,2024-07-26,2025,Aug,Road Tax,2024-12-25,2025-06-01,Filed,1307974,1307974,0,Paid,Portal,2025-01-19,Audited,No Issue,41774,148411120,Low,23,Kaduna South,No,2024,July,December,January
401,100498,KAD-TIN-202500400,"Howell, Weber and Allen",Sandra Palmer,Individual,Retail,Giwa,2024-12-03,2025,Jun,Withholding Tax,2025-10-10,2025-07-10,Filed,404270,404270,0,Paid,Portal,2025-10-31,Audited,Underpayment,189853,454448105,Low,50,Kaduna North,Yes,2024,December,October,October
402,100093,KAD-TIN-202500401,"Cain, Mcclain and Adams",Brady Harrington,Individual,Healthcare,Igabi,2024-09-24,2025,Jun,Withholding Tax,2025-08-17,,Not Filed,2162319,1041133,1121186,Partial,Portal,2025-08-30,Not Audited,No Issue,37821,59345337,Low,47,Kaduna South,No,2024,September,August,August
403,100547,KAD-TIN-202500402,Contreras PLC,Shelby Thompson,Sme,Retail,Kagarko,2024-07-28,2025,Sep,Road Tax,2025-01-04,,Not Filed,519136,128544,390592,Partial,Portal,2025-01-17,Not Audited,No Issue,95157,257132749,High,67,Kaduna South,Yes,2024,July,January,January
404,100688,KAD-TIN-202500403,Jackson-Wu,Lisa Camacho,Individual,Agriculture,Makarfi,2024-11-26,2025,Jul,Withholding Tax,2025-11-01,,Filed,508624,508624,0,Paid,Ngn,2025-11-06,Audited,Underpayment,101835,6223080,Medium,52,Kaduna South,Yes,2024,November,November,November
405,100165,KAD-TIN-202500404,"Nelson, Friedman and Phillips",Pamela Scott,Sme,Agriculture,Soba,2025-04-24,2025,Jul,Paye,2025-09-21,,Late,1814849,1814849,0,Paid,Bank Transfer,2025-10-20,Not Audited,Pending,108255,499409405,Medium,74,Kaduna North,Yes,2025,April,September,October
406,100431,KAD-TIN-202500405,"Flores, Allen and Spears",Francisco Oneill,Corporate,Healthcare,Kagarko,2024-12-23,2025,Aug,Paye,2025-06-04,,Not Filed,606728,184474,422254,Partial,Bank Transfer,2025-06-13,Not Audited,Pending,35675,3651310,Medium,45,Zaria,No,2024,December,June,June
407,100162,KAD-TIN-202500406,Webb-Berg,Ryan Arellano,Individual,Healthcare,Zaria,2024-06-09,2025,Nov,Business Premises,2025-04-29,,Filed,979694,979694,0,Paid,Portal,2025-05-17,Not Audited,Underpayment,192720,73677529,Medium,42,Zaria,No,2024,June,April,May
408,100425,KAD-TIN-202500407,Brown-Escobar,Caleb Brown,Sme,Ict,Kaura,2025-02-13,2025,Jul,Business Premises,2025-08-06,2025-01-08,Filed,757989,757989,0,Paid,Bank Transfer,2025-08-18,Audited,Underpayment,51974,142543766,High,41,Kaduna North,No,2025,February,August,August
409,100092,KAD-TIN-202500408,"Jennings, Miranda and Hernandez",Katrina Hayes,Sme,Ict,Sabon Gari,2024-11-12,2025,Feb,Paye,2025-07-19,,Not Filed,2232361,313002,1919359,Partial,Portal,2025-08-15,Not Audited,No Issue,58847,385091601,Low,44,Kaduna South,No,2024,November,July,August
410,100442,KAD-TIN-202500409,Davis-Jimenez,Walter Wright,Individual,Healthcare,Jema'A,2025-01-17,2025,May,Business Premises,2025-10-27,2025-04-11,Late,1142191,1142191,0,Paid,Pos,2025-11-20,Audited,No Issue,76072,142552518,Low,99,Kaduna South,Yes,2025,January,October,November
411,100011,KAD-TIN-202500410,Waller-Pitts,Travis Yu,Sme,Ict,Kagarko,2024-07-08,2025,Dec,Road Tax,2025-06-01,,Not Filed,3893359,179807,3713552,Partial,Pos,2025-06-23,Not Audited,Pending,156551,139560069,Low,32,Zaria,Yes,2024,July,June,June
412,100363,KAD-TIN-202500411,"Sanchez, Perez and Campbell",Lisa Stein,Corporate,Healthcare,Zaria,2024-01-27,2025,Dec,Paye,2024-08-14,2024-09-08,Filed,4000467,4000467,0,Paid,Ngn,2024-09-13,Not Audited,Underpayment,103467,362381054,Medium,36,Zaria,Yes,2024,January,August,September
413,100516,KAD-TIN-202500412,"Randall, Ochoa and Jackson",Phillip Juarez,Sme,Agriculture,Kubau,2024-10-24,2025,Mar,Paye,2025-02-22,,Late,1474943,1474943,0,Paid,Portal,2025-03-01,Not Audited,No Issue,82121,25709377,Low,83,Kaduna South,No,2024,October,February,March
414,100628,KAD-TIN-202500413,"Reyes, Carlson and Jones",Isabel Johnson,Sme,Healthcare,Kagarko,2025-04-19,2025,Jul,Business Premises,2025-12-25,,Late,2258019,2258019,0,Paid,Portal,2026-01-01,Not Audited,No Issue,49524,81790191,Low,49,Kaduna North,Yes,2025,April,December,January
415,100447,KAD-TIN-202500414,"Hamilton, Jones and Shaw",Joshua Gomez,Individual,Manufacturing,Chikun,2024-08-28,2025,Aug,Withholding Tax,2025-02-07,,Filed,3968594,3968594,0,Paid,Portal,2025-03-06,Not Audited,No Issue,188681,467402283,Low,35,Kaduna South,Yes,2024,August,February,March
416,100521,KAD-TIN-202500415,"Cooper, Harvey and Patel",William Williams,Sme,Healthcare,Zangon Kataf,2024-04-14,2025,Oct,Business Premises,2024-10-06,,Filed,1461760,1461760,0,Paid,Bank Transfer,2024-10-15,Not Audited,No Issue,64528,414452918,Medium,32,Kaduna South,Yes,2024,April,October,October
417,100605,KAD-TIN-202500416,"Myers, Salazar and Hall",Courtney Patel,Individual,Agriculture,Ikara,2024-05-25,2025,Jan,Paye,2024-08-25,2024-03-09,Late,3183634,3183634,0,Paid,Portal,2024-09-21,Not Audited,Pending,172492,5116728,Medium,25,Zaria,No,2024,May,August,September
418,100050,KAD-TIN-202500417,Reed Inc,Benjamin Mccormick,Corporate,Agriculture,Kagarko,2024-06-15,2025,Jan,Paye,2025-05-02,,Filed,1823073,1823073,0,Paid,Portal,2025-05-05,Not Audited,Underpayment,46664,130892036,Medium,31,Kaduna North,Yes,2024,June,May,May
419,100663,KAD-TIN-202500418,Stewart-Harper,Erica Cook,Corporate,Ict,Igabi,2024-03-24,2025,May,Road Tax,2024-11-07,,Late,2440215,2440215,0,Paid,Portal,2024-11-24,Audited,Underpayment,174462,53599467,Medium,85,Kaduna North,No,2024,March,November,November
420,100577,KAD-TIN-202500419,Mckinney-Nolan,Dustin Sanchez,Corporate,Manufacturing,Giwa,2024-08-16,2025,Jul,Withholding Tax,2025-04-01,,Late,2302168,2302168,0,Paid,Pos,2025-04-26,Not Audited,No Issue,10600,277598096,Medium,79,Zaria,Yes,2024,August,April,April
421,100645,KAD-TIN-202500420,"Howard, Brown and Le",Samuel Martinez,Corporate,Healthcare,Giwa,2024-11-27,2025,May,Road Tax,2025-03-16,,Late,4473134,4473134,0,Paid,Bank Transfer,2025-04-13,Not Audited,No Issue,33499,369388244,Medium,51,Zaria,No,2024,November,March,April
422,100079,KAD-TIN-202500421,Brooks Inc,Raymond Bartlett,Individual,Healthcare,Igabi,2024-05-31,2025,Sep,Road Tax,2025-04-17,,Filed,4672075,4672075,0,Paid,Bank Transfer,2025-05-14,Not Audited,Underpayment,66810,316374364,Low,84,Kaduna North,Yes,2024,May,April,May
423,100403,KAD-TIN-202500422,Vasquez Group,Kimberly Rodriguez,Individual,Retail,Kauru,2025-01-14,2025,Dec,Withholding Tax,2025-10-07,2025-12-10,Filed,1578472,1578472,0,Paid,Portal,2025-11-02,Not Audited,Underpayment,49071,115316470,Low,30,Zaria,No,2025,January,October,November
424,100019,KAD-TIN-202500423,Greer-Martinez,Jessica Wiggins,Individual,Manufacturing,Igabi,2025-03-22,2025,Jan,Business Premises,2025-06-14,,Late,4532670,4532670,0,Paid,Portal,2025-07-11,Not Audited,Pending,195099,325135856,High,82,Kaduna South,No,2025,March,June,July
425,100129,KAD-TIN-202500424,Smith-Roberts,Pamela Simmons,Individual,Retail,Jema'A,2024-12-19,2025,Feb,Paye,2025-08-08,,Late,785136,785136,0,Paid,Pos,2025-08-07,Audited,Underpayment,170032,79929061,High,50,Kaduna South,Yes,2024,December,August,August
426,100486,KAD-TIN-202500425,May-Bailey,Ethan Smith,Sme,Retail,Igabi,2024-02-14,2025,Mar,Business Premises,2024-08-16,2024-03-09,Late,1292903,1292903,0,Paid,Portal,2024-09-14,Not Audited,No Issue,117837,316190960,Low,45,Kaduna South,No,2024,February,August,September
427,100646,KAD-TIN-202500426,Bailey Group,Barbara Scott,Corporate,Manufacturing,Kauru,2024-01-27,2025,Aug,Withholding Tax,2024-08-14,2024-10-08,Filed,911204,911204,0,Paid,Portal,2024-09-06,Not Audited,Pending,154937,391024276,High,82,Kaduna North,Yes,2024,January,August,September
428,100324,KAD-TIN-202500427,"Moss, Gray and Howard",Breanna Willis,Corporate,Retail,Kaduna North,2024-09-27,2025,Nov,Road Tax,2024-11-05,,Late,4885221,4885221,0,Paid,Bank Transfer,2024-12-04,Not Audited,Underpayment,182849,236199201,Low,40,Kaduna South,Yes,2024,September,November,December
429,100520,KAD-TIN-202500428,Bates-Rodriguez,Brenda Ortiz,Individual,Healthcare,Zangon Kataf,2024-08-28,2025,Jun,Road Tax,2025-03-22,,Late,1997022,1997022,0,Paid,Ngn,2025-04-13,Not Audited,Pending,171049,396377122,Medium,80,Kaduna North,Yes,2024,August,March,April
430,100178,KAD-TIN-202500429,Mendez Group,Kenneth Allen,Individual,Ict,Sanga,2024-05-24,2025,Aug,Paye,2024-08-06,,Not Filed,4100772,270735,3830037,Partial,Portal,2024-09-04,Not Audited,No Issue,54901,300946107,Low,22,Kaduna South,No,2024,May,August,September
431,100033,KAD-TIN-202500430,Johnson-Hardin,Kathryn Waller,Individual,Agriculture,Kauru,2024-07-01,2025,Feb,Business Premises,2024-10-20,,Filed,4273487,4273487,0,Paid,Pos,2024-11-18,Not Audited,Underpayment,93124,415054471,Low,91,Kaduna South,Yes,2024,July,October,November
432,100052,KAD-TIN-202500431,Clark Group,Stephanie Woods,Sme,Manufacturing,Igabi,2025-03-12,2025,Feb,Paye,2025-12-30,,Not Filed,923606,370359,553247,Partial,Bank Transfer,2026-01-29,Audited,No Issue,165131,65382630,Low,66,Kaduna North,No,2025,March,December,January
433,100158,KAD-TIN-202500432,"Hernandez, Joseph and Anderson",Justin Martinez,Corporate,Agriculture,Kagarko,2024-12-28,2025,Mar,Paye,2025-09-10,,Not Filed,4230806,416470,3814336,Partial,Pos,2025-10-06,Not Audited,No Issue,64308,450187015,Medium,63,Kaduna South,Yes,2024,December,September,October
434,100370,KAD-TIN-202500433,Jackson-Williams,William Gomez,Corporate,Ict,Ikara,2024-02-13,2025,Sep,Road Tax,2024-07-28,,Late,3531344,3531344,0,Paid,Pos,2024-08-03,Not Audited,Underpayment,107297,484145115,Medium,86,Zaria,No,2024,February,July,August
435,100011,KAD-TIN-202500434,"Thomas, Wilson and Davis",Erin Lewis,Corporate,Healthcare,Giwa,2025-04-28,2025,Feb,Withholding Tax,2025-06-12,,Late,1271249,1271249,0,Paid,Portal,2025-06-20,Not Audited,No Issue,103092,409588310,Low,39,Zaria,Yes,2025,April,June,June
436,100430,KAD-TIN-202500435,"Moore, Clark and Brown",Nicholas Allen,Sme,Healthcare,Kaduna South,2025-05-15,2025,Dec,Withholding Tax,2026-05-03,,Not Filed,4410216,1240358,3169858,Partial,Ngn,2026-05-01,Not Audited,Pending,160012,496163151,Low,71,Kaduna South,Yes,2025,May,May,May
437,100354,KAD-TIN-202500436,Meyer PLC,Jeremy Allen,Corporate,Manufacturing,Jema'A,2025-03-30,2025,May,Paye,2026-02-01,,Not Filed,3758971,1462702,2296269,Partial,Bank Transfer,2026-02-20,Not Audited,Pending,188450,399312508,Low,86,Zaria,No,2025,March,February,February
438,100534,KAD-TIN-202500437,"Santiago, Jones and Smith",Cindy Hansen,Sme,Ict,Birnin Gwari,2024-04-19,2025,Jan,Withholding Tax,2024-07-05,,Not Filed,4678715,1309681,3369034,Partial,Pos,2024-07-22,Not Audited,Pending,28951,394982083,Low,67,Kaduna South,No,2024,April,July,July
439,100306,KAD-TIN-202500438,Graham and Sons,Austin Hartman,Corporate,Retail,Kubau,2024-03-04,2025,Jun,Business Premises,2024-04-27,,Not Filed,1096477,470534,625943,Partial,Pos,2024-05-17,Not Audited,Underpayment,174829,423330526,High,93,Zaria,Yes,2024,March,April,May
440,100336,KAD-TIN-202500439,"Campbell, Hunter and Moore",Robert Payne,Corporate,Healthcare,Jema'A,2024-12-31,2025,Jun,Road Tax,2025-08-11,,Not Filed,2127298,220676,1906622,Partial,Bank Transfer,2025-08-18,Not Audited,Underpayment,21481,51525596,Low,74,Kaduna North,No,2024,December,August,August
441,100694,KAD-TIN-202500440,Watson-Sutton,Susan Larson,Corporate,Manufacturing,Sabon Gari,2024-04-19,2025,Sep,Road Tax,2025-01-02,2025-05-01,Filed,3147864,3147864,0,Paid,Portal,2025-01-27,Not Audited,Pending,128330,394837550,Medium,40,Kaduna North,Yes,2024,April,January,January
442,100542,KAD-TIN-202500441,Cameron Ltd,Steven Hamilton,Individual,Ict,Kubau,2024-09-05,2025,Aug,Paye,2025-05-27,,Filed,4354911,4354911,0,Paid,Pos,2025-06-17,Audited,Pending,107117,61236276,Low,67,Zaria,No,2024,September,May,June
443,100381,KAD-TIN-202500442,Moon-Holland,Carol Carroll,Sme,Agriculture,Kaduna South,2024-01-21,2025,May,Road Tax,2024-11-13,2024-08-11,Filed,1037693,1037693,0,Paid,Pos,2024-11-20,Not Audited,No Issue,79996,479308955,Medium,47,Kaduna North,No,2024,January,November,November
444,100046,KAD-TIN-202500443,Archer Inc,Gregory Bryant,Sme,Manufacturing,Sabon Gari,2024-01-02,2025,May,Road Tax,2024-04-03,,Not Filed,2974679,141693,2832986,Partial,Ngn,2024-04-25,Not Audited,Pending,158783,73301614,Low,84,Zaria,No,2024,January,April,April
445,100334,KAD-TIN-202500444,"Nichols, Hines and Huynh",Dominique Ward,Individual,Healthcare,Zangon Kataf,2025-01-24,2025,Oct,Road Tax,2025-10-11,,Not Filed,3817111,312439,3504672,Partial,Portal,2025-10-23,Not Audited,Underpayment,141818,26599269,High,76,Zaria,No,2025,January,October,October
446,100586,KAD-TIN-202500445,Villanueva LLC,Patrick Costa,Corporate,Agriculture,Makarfi,2024-11-26,2025,Nov,Paye,2025-02-09,,Filed,258071,258071,0,Paid,Bank Transfer,2025-02-19,Audited,Pending,136774,103681132,Medium,84,Kaduna North,Yes,2024,November,February,February
447,100282,KAD-TIN-202500446,Love LLC,Deborah Ballard,Individual,Ict,Zaria,2024-12-03,2025,Oct,Road Tax,2025-10-01,,Filed,209161,209161,0,Paid,Ngn,2025-10-24,Audited,Underpayment,6098,184512786,Medium,43,Kaduna South,Yes,2024,December,October,October
448,100264,KAD-TIN-202500447,Ruiz-Warren,Christine Garcia,Individual,Retail,Igabi,2025-03-16,2025,Sep,Business Premises,2026-01-10,,Late,3254540,3254540,0,Paid,Pos,2026-01-19,Not Audited,No Issue,40429,166708889,Medium,41,Kaduna North,No,2025,March,January,January
449,100400,KAD-TIN-202500448,"Mendez, Garcia and Lee",Robert Gutierrez,Individual,Agriculture,Ikara,2024-04-02,2025,Jul,Withholding Tax,2024-05-15,,Not Filed,540748,156250,384498,Partial,Ngn,2024-06-06,Audited,No Issue,53099,130646596,High,95,Kaduna North,No,2024,April,May,June
450,100276,KAD-TIN-202500449,"Cline, Pratt and Johnson",Shawn Koch,Individual,Agriculture,Kubau,2024-09-17,2025,Sep,Road Tax,2025-07-02,,Late,1015372,1015372,0,Paid,Portal,2025-07-01,Not Audited,Pending,61273,492557794,Low,54,Zaria,Yes,2024,September,July,July
451,100582,KAD-TIN-202500450,"Moore, Acosta and Collins",Katie Gates,Sme,Manufacturing,Giwa,2024-05-06,2025,Nov,Business Premises,2025-03-16,,Not Filed,1103368,319409,783959,Partial,Pos,2025-04-06,Audited,No Issue,140911,229500366,High,77,Kaduna North,Yes,2024,May,March,April
452,100001,KAD-TIN-202500451,"Winters, Tucker and Watson",Jorge Hill,Individual,Manufacturing,Kaduna North,2025-02-20,2025,Oct,Withholding Tax,2025-11-14,,Not Filed,2476400,351024,2125376,Partial,Portal,2025-12-04,Audited,Pending,133779,153027849,Low,40,Zaria,Yes,2025,February,November,December
453,100144,KAD-TIN-202500452,Pace-Crosby,Raymond Howell,Corporate,Healthcare,Kaduna North,2024-06-02,2025,Jul,Business Premises,2024-08-16,,Late,1081605,1081605,0,Paid,Ngn,2024-09-04,Not Audited,Pending,118677,148572815,Low,61,Kaduna South,Yes,2024,June,August,September
454,100137,KAD-TIN-202500453,Turner-Watkins,Michael Haas,Corporate,Retail,Sanga,2024-08-23,2025,Aug,Paye,2025-07-25,,Late,183165,183165,0,Paid,Pos,2025-08-18,Not Audited,Underpayment,141067,45566423,High,29,Zaria,Yes,2024,August,July,August
455,100386,KAD-TIN-202500454,Rivera Ltd,Daniel Murphy,Corporate,Agriculture,Kaura,2025-04-01,2025,Mar,Paye,2025-12-14,,Not Filed,1085285,370141,715144,Partial,Bank Transfer,2026-01-10,Not Audited,No Issue,116543,7026884,Low,22,Kaduna South,No,2025,April,December,January
456,100240,KAD-TIN-202500455,Church-Henderson,Sergio Owens,Sme,Agriculture,Chikun,2024-04-08,2025,May,Road Tax,2024-06-23,,Not Filed,2593245,463780,2129465,Partial,Pos,2024-06-21,Audited,Pending,103831,61563963,Medium,92,Zaria,No,2024,April,June,June
457,100689,KAD-TIN-202500456,White and Sons,Rita Martin,Corporate,Healthcare,Sabon Gari,2024-03-28,2025,Mar,Paye,2025-02-03,,Filed,4795494,4795494,0,Paid,Pos,2025-02-05,Audited,Underpayment,149396,461281769,Low,86,Zaria,No,2024,March,February,February
458,100698,KAD-TIN-202500457,Smith-Diaz,Kelly Jarvis,Corporate,Manufacturing,Birnin Gwari,2024-04-08,2025,Jul,Paye,2024-05-19,,Not Filed,4520637,1060827,3459810,Partial,Ngn,2024-06-13,Not Audited,Underpayment,31907,367165354,High,79,Kaduna South,No,2024,April,May,June
459,100285,KAD-TIN-202500458,"Santos, Mullins and Villanueva",Nicole Johnson,Sme,Healthcare,Kubau,2024-09-21,2025,Jun,Paye,2024-11-12,,Not Filed,1933646,49246,1884400,Partial,Portal,2024-11-22,Not Audited,No Issue,149899,435616094,Low,48,Zaria,No,2024,September,November,November
460,100169,KAD-TIN-202500459,Owens and Sons,Michael Frost MD,Sme,Agriculture,Giwa,2025-05-05,2025,Nov,Paye,2025-07-12,2025-07-07,Filed,1701522,1701522,0,Paid,Portal,2025-08-06,Audited,Pending,164180,181477304,Medium,51,Kaduna North,No,2025,May,July,August
461,100533,KAD-TIN-202500460,Mitchell Inc,Derrick Jones,Individual,Retail,Sanga,2024-05-02,2025,Oct,Road Tax,2024-11-22,2024-11-12,Filed,2848342,2848342,0,Paid,Bank Transfer,2024-12-18,Audited,No Issue,15908,494157285,Low,68,Kaduna South,Yes,2024,May,November,December
462,100057,KAD-TIN-202500461,Weber-Graham,Karen Gonzalez,Sme,Healthcare,Soba,2025-02-04,2025,Jul,Paye,2025-05-10,2025-08-05,Filed,3757080,3757080,0,Paid,Bank Transfer,2025-05-11,Not Audited,Underpayment,105298,53448475,High,72,Kaduna North,Yes,2025,February,May,May
463,100636,KAD-TIN-202500462,Perry Ltd,Heidi Fitzpatrick,Corporate,Retail,Kagarko,2024-08-20,2025,Nov,Paye,2025-04-03,2025-12-04,Late,3641211,3641211,0,Paid,Ngn,2025-04-13,Audited,No Issue,3221,321532201,High,28,Zaria,Yes,2024,August,April,April
464,100263,KAD-TIN-202500463,Barnes Group,Christopher Campbell,Sme,Manufacturing,Kudan,2025-04-08,2025,Dec,Road Tax,2026-02-25,,Filed,4318945,4318945,0,Paid,Pos,2026-03-03,Audited,No Issue,33470,169324871,High,75,Zaria,No,2025,April,February,March
465,100481,KAD-TIN-202500464,"Blair, Barajas and Thompson",John Thomas,Sme,Healthcare,Kagarko,2024-06-08,2025,May,Withholding Tax,2025-05-02,,Not Filed,1271588,154569,1117019,Partial,Bank Transfer,2025-05-09,Audited,No Issue,132935,441795946,High,26,Kaduna South,No,2024,June,May,May
466,100071,KAD-TIN-202500465,"Rhodes, Butler and Acevedo",Stacy Bond,Sme,Ict,Zangon Kataf,2024-04-10,2025,Aug,Road Tax,2024-08-20,,Not Filed,1738301,823408,914893,Partial,Ngn,2024-09-08,Not Audited,Underpayment,86145,89123407,Low,78,Kaduna North,No,2024,April,August,September
467,100236,KAD-TIN-202500466,"Hernandez, Reynolds and Lee",Michael Kim,Sme,Healthcare,Jema'A,2024-04-22,2025,Apr,Road Tax,2024-05-23,,Not Filed,1920870,726894,1193976,Partial,Ngn,2024-06-14,Audited,Underpayment,48298,445500641,Low,66,Kaduna North,Yes,2024,April,May,June
